iter	Passed	Remaining
0	136	136556
1	137	68784
2	138	46020
3	139	34651
4	139	27849
5	140	23273
6	141	20100
7	142	17668
8	142	15743
9	143	14224
10	144	12968
11	144	11926
12	145	11031
13	145	10267
14	146	9620
15	147	9046
16	147	8537
17	148	8085
18	149	7703
19	149	7344
20	150	7016
21	150	6712
22	151	6437
23	152	6183
24	152	5948
25	153	5733
26	153	5534
27	154	5348
28	154	5173
29	155	5022
30	155	4874
31	156	4731
32	157	4602
33	157	4477
34	158	4363
35	158	4250
36	159	4144
37	159	4045
38	160	3954
39	161	3864
40	161	3778
41	162	3697
42	162	3618
43	163	3545
44	163	3472
45	164	3403
46	164	3338
47	165	3286
48	166	3228
49	166	3171
50	167	3114
51	167	3061
52	168	3009
53	168	2959
54	169	2911
55	170	2866
56	170	2820
57	170	2777
58	171	2736
59	172	2696
60	172	2657
61	173	2617
62	173	2580
63	174	2545
64	174	2513
65	175	2478
66	175	2444
67	175	2409
68	176	2377
69	176	2346
70	177	2317
71	177	2291
72	178	2263
73	178	2236
74	179	2209
75	179	2183
76	180	2159
77	180	2137
78	181	2116
79	182	2094
80	182	2075
81	183	2053
82	184	2034
83	184	2012
84	184	1990
85	185	1970
86	185	1949
87	186	1931
88	187	1914
89	187	1897
90	188	1880
91	188	1863
92	189	1846
93	189	1831
94	190	1814
95	191	1799
96	191	1785
97	192	1769
98	192	1756
99	193	1741
100	194	1727
101	194	1710
102	194	1696
103	195	1682
104	195	1669
105	196	1657
106	197	1645
107	197	1633
108	198	1622
109	198	1609
110	199	1598
111	200	1586
112	200	1574
113	201	1563
114	201	1552
115	202	1540
116	202	1530
117	203	1520
118	203	1508
119	204	1499
120	205	1489
121	205	1480
122	206	1469
123	206	1460
124	207	1451
125	207	1442
126	208	1434
127	209	1424
128	209	1416
129	210	1407
130	210	1399
131	211	1391
132	212	1383
133	212	1375
134	213	1368
135	214	1360
136	214	1353
137	215	1345
138	215	1337
139	216	1330
140	217	1323
141	217	1316
142	218	1309
143	219	1302
144	220	1297
145	220	1291
146	221	1284
147	221	1277
148	222	1271
149	223	1264
150	223	1258
151	224	1252
152	225	1246
153	225	1240
154	226	1234
155	227	1228
156	227	1222
157	228	1216
158	228	1210
159	229	1205
160	230	1199
161	230	1193
162	231	1188
163	232	1183
164	232	1177
165	233	1171
166	233	1166
167	234	1161
168	235	1155
169	235	1150
170	236	1145
171	236	1140
172	237	1135
173	238	1130
174	238	1125
175	239	1121
176	240	1116
177	240	1111
178	241	1107
179	242	1102
180	242	1096
181	243	1092
182	243	1086
183	244	1082
184	244	1078
185	245	1073
186	245	1069
187	246	1064
188	247	1060
189	247	1055
190	248	1051
191	248	1047
192	249	1042
193	249	1038
194	250	1034
195	251	1030
196	251	1026
197	252	1022
198	252	1017
199	253	1014
200	254	1010
201	254	1006
202	255	1002
203	255	998
204	256	994
205	256	990
206	257	987
207	258	983
208	258	979
209	259	975
210	260	972
211	261	970
212	261	967
213	262	963
214	263	960
215	263	958
216	264	955
217	265	952
218	266	949
219	266	946
220	267	943
221	268	940
222	269	937
223	269	934
224	270	931
225	270	927
226	271	924
227	272	921
228	272	918
229	273	914
230	273	911
231	274	909
232	275	907
233	276	904
234	277	902
235	277	899
236	278	896
237	279	893
238	279	890
239	280	887
240	280	884
241	281	881
242	282	879
243	283	876
244	283	873
245	284	870
246	284	868
247	285	866
248	286	864
249	287	861
250	287	858
251	288	856
252	289	853
253	289	850
254	290	848
255	290	845
256	291	842
257	292	840
258	292	837
259	293	835
260	294	833
261	294	830
262	295	828
263	296	826
264	297	823
265	297	821
266	298	819
267	299	817
268	300	815
269	300	812
270	301	810
271	302	808
272	302	806
273	303	803
274	304	801
275	304	799
276	305	797
277	306	795
278	306	793
279	307	791
280	308	789
281	309	786
282	309	784
283	310	783
284	311	781
285	311	778
286	312	776
287	313	774
288	313	772
289	314	770
290	315	768
291	316	766
292	316	764
293	317	762
294	318	760
295	318	758
296	319	756
297	320	754
298	321	752
299	321	750
300	322	748
301	323	746
302	323	744
303	324	742
304	325	740
305	325	739
306	326	737
307	327	735
308	327	733
309	328	731
310	329	729
311	330	728
312	331	726
313	331	725
314	332	723
315	333	721
316	334	720
317	334	718
318	335	716
319	336	714
320	337	713
321	337	711
322	338	709
323	338	707
324	339	705
325	340	703
326	341	701
327	341	700
328	342	698
329	343	696
330	343	694
331	344	692
332	345	691
333	345	689
334	346	687
335	347	685
336	347	684
337	348	682
338	348	680
339	349	678
340	350	677
341	351	675
342	351	673
343	352	671
344	352	670
345	353	668
346	354	667
347	355	665
348	355	663
349	356	662
350	357	660
351	358	659
352	358	657
353	359	655
354	360	654
355	360	652
356	361	651
357	362	649
358	362	648
359	363	646
360	364	645
361	365	643
362	365	642
363	366	640
364	367	639
365	368	637
366	368	636
367	369	634
368	370	633
369	371	631
370	371	630
371	372	628
372	373	627
373	373	625
374	374	624
375	375	622
376	376	621
377	376	619
378	377	618
379	378	616
380	378	615
381	379	614
382	380	612
383	381	611
384	381	609
385	382	608
386	383	606
387	383	605
388	384	604
389	385	602
390	386	601
391	386	600
392	387	598
393	388	597
394	389	595
395	389	594
396	390	592
397	391	591
398	391	590
399	392	588
400	393	587
401	393	585
402	394	584
403	395	583
404	395	581
405	396	580
406	397	578
407	397	577
408	398	576
409	399	574
410	400	573
411	400	571
412	401	570
413	401	569
414	402	567
415	403	566
416	404	564
417	404	563
418	405	562
419	406	561
420	407	559
421	407	558
422	408	557
423	409	555
424	409	554
425	410	553
426	411	551
427	411	550
428	412	549
429	413	547
430	414	546
431	414	545
432	415	544
433	416	542
434	416	541
435	417	540
436	418	539
437	419	537
438	419	536
439	420	535
440	421	534
441	422	532
442	422	531
443	423	530
444	424	529
445	424	527
446	425	526
447	426	525
448	427	524
449	428	523
450	428	521
451	429	520
452	430	519
453	430	518
454	431	516
455	432	515
456	432	514
457	433	513
458	434	511
459	434	510
